HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,Dia_da_Semana,Day,Month,Day_of_week,Date
99.0,16.0,2,1,0,1.18,7.0,15.0,1.17,7.5,15.5,1.21,8.5,17.5,1.18,7.64,15.67,1.44,2.75,2.98,1.45,2.85,1.42,5,12,8,5,
7.0,99.0,0,1,0,5.5,4.0,1.6,5.75,4.1,1.57,6.0,4.33,1.68,5.79,4.06,1.6,1.94,1.96,1.97,2.0,1.9,1.92,0,21,8,0,
99.0,9.0,2,2,0,1.2,7.0,13.0,1.22,6.75,12.5,1.27,7.27,15.25,1.23,6.49,13.35,1.44,2.75,2.8,1.53,2.67,1.48,5,26,8,5,
99.0,98.0,3,1,0,1.75,3.8,4.5,1.75,4.0,4.2,1.83,4.25,4.7,1.77,4.04,4.38,1.57,2.38,2.53,1.6,2.47,1.55,6,3,9,6,
8.0,99.0,0,1,0,6.0,4.5,1.5,5.75,4.5,1.52,6.5,4.75,1.57,6.07,4.55,1.52,1.67,2.2,2.36,1.7,2.27,1.65,6,17,9,6,
99.0,18.0,2,2,0,1.67,4.33,4.33,1.72,4.2,4.2,1.76,4.6,4.75,1.7,4.36,4.5,1.5,2.63,2.69,1.54,2.58,1.51,6,24,9,6,
3.0,99.0,0,4,0,5.5,4.5,1.53,5.75,4.6,1.51,6.0,4.9,1.58,5.77,4.68,1.53,1.53,2.5,2.56,1.58,2.49,1.54,5,30,9,5,
99.0,13.0,1,0,0,2.9,3.3,2.4,2.85,3.5,2.4,3.05,3.66,2.51,2.92,3.49,2.44,1.75,2.05,2.16,1.85,2.05,1.78,6,8,10,6,
6.0,99.0,2,2,0,3.2,3.4,2.25,3.1,3.4,2.2,3.4,3.56,2.36,3.24,3.47,2.26,1.98,1.92,1.98,2.01,1.9,1.92,5,21,10,5,
99.0,0.0,5,0,0,1.13,8.5,19.0,1.13,9.25,19.5,1.14,11.0,26.0,1.13,9.61,21.6,1.36,3.1,3.3,1.39,3.13,1.36,5,28,10,5,
15.0,99.0,1,0,0,2.8,3.2,2.6,2.8,3.4,2.45,2.89,3.5,2.65,2.82,3.39,2.56,1.95,1.95,1.96,2.0,1.91,1.92,5,4,11,5,
99.0,0.0,3,1,0,1.18,7.0,17.0,1.2,7.25,14.0,1.22,8.1,17.0,1.19,7.34,15.07,1.48,2.6,2.68,1.54,2.62,1.49,5,11,11,5,
4.0,99.0,0,1,0,4.5,3.75,1.75,4.5,3.75,1.75,5.0,4.01,1.8,4.64,3.84,1.77,1.9,2.0,2.03,1.94,1.96,1.88,5,25,11,5,
99.0,20.0,2,1,0,1.25,5.5,12.0,1.27,6.0,10.5,1.3,6.5,12.6,1.27,5.95,11.58,1.65,2.2,2.37,1.73,2.27,1.65,5,2,12,5,
0.0,99.0,3,4,0,17.0,7.0,1.18,14.0,6.5,1.22,17.0,7.2,1.25,14.98,6.73,1.21,1.65,2.2,2.44,1.72,2.28,1.64,1,5,12,1,
